ID,Region,Country,City,Year,System_Type,GHI,Sunlight_Hours,Annual_Production_MWh,Total_Installations,Installation_Cost_USD,Avg_Price_per_kWh,Annual_Savings_USD,ROI_Percentage,CO2_Reduction_Tons,Sustainability_Score,Solar_Viability_Score,Reliability_Score,Risk_Level
173,Europe,Italy,Stockholm,2019,Industrial,5.52,7.72,12630.84,2402,237033.7,0.2228,2814151.15,1187.24,8138.68,54.13,50.51,89.68,Low
174,Africa,Nigeria,Nairobi,2022,Utility-Scale,6.62,8.18,16859.19,4450,272891,0.1668,2812112.89,1030.49,11571.42,63.39,66.63,98.64,Low
175,Europe,UK,Stockholm,2024,Commercial,6.44,8.75,12514.23,971,443664.43,0.0855,1069966.67,241.17,6650.16,93.11,60.27,93.75,Low
176,South America,Venezuela,Santiago,2020,Commercial,4.9,9.12,12850.97,2312,124691.73,0.1037,1332645.59,1068.75,6468.02,60.35,44.59,73.68,High
177,South America,Peru,Lima,2023,Commercial,5.79,10.69,16553.88,2281,455069.88,0.2186,3618678.17,795.19,7743.81,87.5,57.02,62.31,High
178,Europe,Germany,Madrid,2023,Industrial,6.35,9.89,19433.96,772,354305.55,0.1632,3171622.27,895.17,13384.42,63.44,62.64,77.63,Medium
179,Asia,Thailand,Jakarta,2021,Commercial,4.81,4.52,6774.62,4388,379725.81,0.2043,1384054.87,364.49,4262.76,83.21,46.68,62.47,Medium
180,Europe,France,Vienna,2024,Residential,4.79,6.34,8291.93,3774,108767.41,0.2249,1864855.06,1714.53,6585.05,94.71,50.52,61.79,Low
181,Europe,Spain,Vienna,2020,Residential,3.5,10.73,8051.57,2962,359866.35,0.1024,824480.77,229.11,5837.38,57.95,39.33,70.69,Medium
182,South America,Argentina,Caracas,2018,Utility-Scale,3.71,8.57,9647.08,4873,389854.47,0.153,1476003.24,378.6,4298.73,54.76,34.23,63.04,Low
183,North America,USA,Denver,2023,Commercial,7.45,7.25,10935.9,1133,81872.74,0.1451,1586799.09,1938.13,8370.14,55.12,72.63,94.36,Medium
184,South America,Brazil,Buenos Aires,2019,Residential,5.62,4.56,7444.79,1789,248044.74,0.2028,1509803.41,608.68,5315.88,57.57,55.32,86.78,Low
185,North America,Canada,Seattle,2019,Industrial,7.35,6.54,9795.07,229,174635.45,0.0943,923675.1,528.92,6628.31,80,74.58,90.38,High
186,Africa,Morocco,Casablanca,2020,Residential,4.25,7.05,8684.6,591,402710.72,0.2149,1866320.54,463.44,4513.13,69.29,39.91,84.89,High
187,Asia,Thailand,Mumbai,2018,Residential,6.94,8.19,13761.77,2157,357323.92,0.2097,2885843.17,807.63,12072.19,88.52,64.57,62.63,Low
188,Middle East,Qatar,Kuwait City,2022,Commercial,6.01,7.76,11688.48,4198,365814.79,0.094,1098717.12,300.35,7811.21,80.8,57.87,72.09,Low
189,Asia,Singapore,Seoul,2022,Utility-Scale,6.04,9.92,17722.16,3569,79751.79,0.1988,3523165.41,4417.66,13557.08,92.32,55.98,63.36,Low
190,Africa,Kenya,Cairo,2019,Industrial,6.16,8.78,11350.23,2133,55699.24,0.1033,1172478.76,2105.02,4604.51,74.82,60.07,80.17,Low
191,South America,Venezuela,Lima,2018,Industrial,7.05,9.51,12402.78,3738,413198.53,0.1262,1565230.84,378.81,5357.21,85.62,71.27,63.01,High
192,Middle East,Saudi Arabia,Kuwait City,2020,Utility-Scale,4.97,6.16,6046.31,2013,308260.54,0.2029,1226796.3,397.97,3109.03,75.44,45.14,93.65,Low
193,Middle East,Saudi Arabia,Riyadh,2018,Industrial,7.22,10.07,19920.34,2232,461276.45,0.2059,4101598.01,889.18,12145.13,66.09,71.36,88.09,Low
194,Africa,Egypt,Accra,2020,Residential,4.22,9.73,14241.47,4540,479335.73,0.0917,1305942.8,272.45,9008.4,64.12,45.65,72.76,Medium
195,Europe,Italy,Rome,2021,Residential,6.64,9.31,13676.66,2018,215723.13,0.2452,3353517.03,1554.55,12293.86,88.79,68.72,81.32,Low
196,North America,Canada,Houston,2018,Utility-Scale,6.04,9.01,9884.44,1961,200757.82,0.209,2065847.96,1029.02,5813.41,86.9,58.48,68,Medium
197,Europe,UK,Rome,2021,Residential,3.68,6,7148.08,3240,235875.56,0.2322,1659784.18,703.67,4497.78,87.39,37.61,79.71,Low
198,South America,Argentina,Buenos Aires,2019,Residential,4.67,10.03,15805.12,1125,226828.7,0.2214,3499253.57,1542.69,8900.27,72.64,44.04,96.8,High
199,North America,Canada,Chicago,2019,Residential,5.36,7.14,10375.38,2502,484085.63,0.1153,1196281.31,247.12,5749.56,63.25,49.8,66.15,High
200,Asia,Japan,Mumbai,2018,Commercial,6.34,10.79,16921.66,4564,72027.78,0.1308,2213353.13,3072.92,13707.3,58.69,67.92,93.33,High
201,Middle East,Saudi Arabia,Dubai,2018,Residential,3.99,4.9,6114.83,4811,150029.66,0.1137,695256.17,463.41,3670.68,84.31,44.28,63.28,Medium
202,North America,Canada,Houston,2021,Residential,6.74,5.1,11138.44,3245,413999.24,0.1008,1122754.75,271.2,9703.14,52.53,71.64,76.89,Medium
203,South America,Argentina,Bogota,2018,Residential,4.92,10.4,11602.19,4521,250705.14,0.1053,1221710.61,487.31,8203.37,80.85,50.67,79.46,Medium
204,Asia,China,Seoul,2020,Utility-Scale,5.18,8.68,14186.7,3939,162116.49,0.249,3532488.3,2178.98,9531.03,50.98,50.62,87.82,High
205,Africa,Kenya,Casablanca,2018,Commercial,5.05,5.67,6706.23,4794,148559.08,0.2323,1557857.23,1048.64,5293.02,52.93,55.42,80.65,Low
206,Europe,France,Madrid,2022,Commercial,5.63,9.64,16569.62,1433,393822.38,0.2411,3994935.38,1014.4,11397.35,99.13,55.18,96.47,Low
207,Asia,Singapore,Singapore,2018,Utility-Scale,3.61,9.05,11143.42,2541,303622.92,0.1757,1957898.89,644.85,5506.15,99.4,39.92,79.2,Low
208,North America,USA,New York,2019,Residential,5.91,4.63,7148.88,2660,199280.3,0.1844,1318253.47,661.51,5742.14,67.04,55.87,91.29,Low
209,Africa,Nigeria,Accra,2024,Utility-Scale,6.6,10,21536.71,1127,482251.44,0.1435,3090517.88,640.85,18757.65,69.78,62.01,71.77,Low
210,South America,Venezuela,Bogota,2023,Commercial,4.77,9.1,11960.2,2422,450320.1,0.1843,2204264.86,489.49,6917.93,83.28,50.84,74.76,Low
211,North America,USA,Seattle,2023,Commercial,4.23,6.57,8823.6,2851,325121.52,0.1887,1665013.32,512.12,3988.75,74.81,40.61,63.03,Medium
212,North America,Canada,Denver,2021,Utility-Scale,3.55,5.86,6195.96,1372,207716.52,0.2138,1324696.25,637.74,4710.21,52.41,34.88,76.37,Medium
213,Asia,Japan,Seoul,2020,Residential,6.82,9.63,18275.79,2149,391209.59,0.1183,2162025.96,552.65,11434.13,89.96,63.53,60.78,Low
214,Europe,Germany,Stockholm,2019,Utility-Scale,6.43,8.06,17241.46,1361,91897.11,0.181,3120704.26,3395.87,12186.65,74.14,59.61,96.76,High
215,North America,Canada,Los Angeles,2019,Utility-Scale,4.32,5.73,7389.53,4693,374917.15,0.2041,1508203.07,402.28,3935.9,64.08,40.58,61.94,High
216,North America,USA,Denver,2021,Utility-Scale,5.21,6.41,9769.81,956,320096.99,0.1139,1112781.36,347.64,4033.64,58.54,50.02,63.2,Medium
217,Middle East,Qatar,Muscat,2019,Residential,3.86,8.04,6561.6,2210,448471.71,0.1428,936996.48,208.93,4087.14,63.16,38.25,68.82,High
218,South America,Brazil,Caracas,2022,Utility-Scale,3.84,6.73,7030.55,4396,486817.49,0.1803,1267608.16,260.39,4758.28,92.04,41.58,76.33,High
219,Europe,France,Vienna,2019,Commercial,3.82,10.37,11940.75,3688,275945.66,0.2331,2783388.83,1008.67,9555.29,83.88,39.4,64.69,Low
220,Europe,UK,Paris,2022,Utility-Scale,5.19,10.92,14396.35,558,498771.15,0.1866,2686358.91,538.6,11762.6,62.89,56.01,95.65,Low
221,Middle East,Qatar,Kuwait City,2018,Residential,6.93,7.88,18343.92,4651,55563.71,0.1991,3652274.47,6573.13,12726.79,89.08,65.43,65.84,High
222,Africa,Kenya,Cairo,2018,Utility-Scale,6.97,10.22,23453.02,4996,168861.48,0.1913,4486562.73,2656.95,16089.04,73.65,66.42,75.72,High
223,Middle East,Saudi Arabia,Doha,2020,Commercial,3.7,7.59,6337.19,814,217598.31,0.1374,870729.91,400.15,5049.64,65.55,40.43,93.47,Low
224,South America,Peru,Bogota,2018,Commercial,4.58,7.21,9567.88,470,134571.06,0.1159,1108917.29,824.04,7768.97,87.05,48.39,93.82,High
225,Asia,China,Seoul,2020,Commercial,6.62,7.91,14487.83,2962,128181.81,0.2288,3314815.5,2586.03,7249.18,52.88,61.53,61.97,High
226,Asia,Singapore,Jakarta,2023,Industrial,5.09,10.5,15809.01,2830,158872.14,0.1631,2578449.53,1622.97,9849.83,98.03,50.65,81.5,Low
227,South America,Peru,Sao Paulo,2021,Residential,3.61,4.82,5657.67,4214,400923.56,0.1164,658552.79,164.26,2889.23,61.26,33.17,85.41,Low
228,Europe,Italy,Paris,2021,Commercial,6.7,5.95,11298.48,3770,474352.24,0.2012,2273254.18,479.23,8526.78,63.77,70.95,93.21,Medium
229,Asia,Singapore,Seoul,2023,Industrial,3.91,7.82,8946.61,532,429477.78,0.1436,1284733.2,299.14,6474.4,80.45,37.08,64.22,Medium
230,Asia,India,Bangkok,2023,Industrial,6.12,10.69,19021.63,3320,134762.04,0.1679,3193731.68,2369.9,9894.12,52.84,64.77,91.59,High
231,Europe,Netherlands,London,2023,Utility-Scale,5.49,6.42,11778.26,1831,232069.5,0.2052,2416898.95,1041.45,8144.81,99.74,58.06,73.38,High
232,Asia,Indonesia,Bangkok,2019,Residential,4.18,8.77,10077.53,2759,182202.82,0.16,1612404.8,884.95,7764.33,86.26,42.39,95.59,High
233,Asia,South Korea,Delhi,2021,Residential,6.99,7.23,16716.02,4763,217257.09,0.1795,3000525.59,1381.09,10562.52,55.89,65.44,84.74,High
234,Europe,Netherlands,Berlin,2024,Industrial,5.03,6.44,6128.49,3758,434407.9,0.1034,633685.87,145.87,3065.15,70.46,50.99,95.36,Low
235,South America,Brazil,Buenos Aires,2022,Commercial,5.45,8.6,9845.52,4020,335524.54,0.0808,795518.02,237.1,5284.72,88.06,51.19,89.81,Low
236,Middle East,Kuwait,Muscat,2023,Residential,5.11,10.77,13492.52,1571,66976.39,0.1139,1536798.03,2294.54,7914.05,50.7,49.32,92.5,Low
237,South America,Argentina,Buenos Aires,2021,Industrial,6.27,6.74,8533.02,4272,222597.71,0.1801,1536796.9,690.39,4125.8,91.19,60.68,71.34,High
238,South America,Peru,Buenos Aires,2022,Residential,7.48,7.69,17688.9,1740,124197.58,0.2342,4142740.38,3335.6,14257.33,50.96,72.04,98.41,High
239,Africa,Egypt,Lagos,2021,Residential,4.97,8.73,8085.45,171,444444.86,0.1235,998553.07,224.67,5395.96,52.43,54.65,85.82,Low
240,Middle East,UAE,Abu Dhabi,2021,Commercial,5.69,7.58,8886.18,4971,362836.41,0.1872,1663492.9,458.47,4892.36,83.08,58.52,70.53,High
241,North America,Canada,Los Angeles,2019,Utility-Scale,3.96,5.19,4393.49,332,139887.22,0.1247,547868.2,391.65,2906.61,60.08,41.63,71.52,High
242,South America,Peru,Bogota,2021,Commercial,4.44,4.58,3968.02,839,99693.91,0.1776,704720.35,706.88,2567.52,97.47,47.2,62.93,Medium
243,Asia,Thailand,Bangkok,2023,Commercial,3.7,9.79,11903.02,385,433511.91,0.1412,1680706.42,387.7,8788.99,71.3,33.16,93.2,Low
244,South America,Peru,Buenos Aires,2024,Utility-Scale,4.93,7.35,10352.74,2236,445313.99,0.0958,991792.49,222.72,8359.65,59.14,48.31,97.53,Medium
245,Middle East,Saudi Arabia,Muscat,2024,Utility-Scale,3.95,9.03,6775.94,1494,474110.14,0.1071,725703.17,153.07,4119.87,79.54,42.52,86.46,High
246,Asia,Indonesia,Tokyo,2023,Commercial,6.24,9.95,21450.51,2584,108794.9,0.2365,5073045.61,4662.94,9791.49,70.56,57.86,70.2,Low
247,Asia,Thailand,Shanghai,2024,Utility-Scale,6.15,6.12,8987.1,1295,354333.01,0.1454,1306724.34,368.78,7365.08,77.92,66.38,62.13,High
248,Middle East,UAE,Riyadh,2018,Utility-Scale,6.51,6.58,10120.05,3648,175170.71,0.1662,1681952.31,960.18,6833.54,68.93,68.27,63.07,High
249,Middle East,Qatar,Abu Dhabi,2023,Commercial,3.97,7.73,8932.49,2505,96189.49,0.1501,1340766.75,1393.88,6061.28,50.01,35.61,83.56,High
250,South America,Peru,Bogota,2018,Commercial,4.95,4.85,5231.14,944,254506.99,0.1752,916495.73,360.11,3713.48,73.66,51.07,87.92,Low
251,Asia,Indonesia,Singapore,2022,Industrial,6.03,9.7,15974.32,3362,218250.66,0.0981,1567080.79,718.02,13553.23,74.62,63.52,88.96,Low
252,Europe,UK,Madrid,2021,Utility-Scale,7.22,7.05,13117.08,4833,401639.18,0.2019,2648338.45,659.38,5953.62,70.72,76.47,92.66,Low
253,South America,Chile,Santiago,2023,Commercial,4.04,7.74,8447.86,1461,71857.22,0.239,2019038.54,2809.79,6922.24,74.15,40.48,95.93,High
254,Europe,Spain,Berlin,2024,Utility-Scale,6.13,8.44,12143.42,2818,446625.76,0.1512,1836085.1,411.1,8555,84.63,58.78,75.52,Medium
255,Europe,Spain,Paris,2023,Industrial,5.91,10.26,16195.43,1727,429383.49,0.1731,2803428.93,652.9,9020.13,86.84,59.64,68.48,High
256,Asia,South Korea,Mumbai,2024,Industrial,6.1,10.73,17388.37,3429,362440.39,0.1348,2343952.28,646.71,7958.7,67.61,60.8,82.25,High
257,Middle East,Oman,Dubai,2019,Industrial,3.93,6.98,5185.11,518,75472.15,0.1254,650212.79,861.53,4110.58,99.18,41.13,65.71,High
258,Africa,Kenya,Cairo,2021,Residential,6.76,5.17,11448.17,2366,382771.62,0.227,2598734.59,678.93,8828.9,78.06,64.98,90.59,High
259,Middle East,Qatar,Abu Dhabi,2024,Commercial,7.36,4.85,10938.11,3022,141389.25,0.2277,2490607.65,1761.53,9081.06,72.15,70.86,84.72,High
260,South America,Peru,Buenos Aires,2018,Industrial,5.3,10.89,11119.74,1328,483113.86,0.205,2279546.7,471.84,5111.49,52.03,50.79,70.31,High
261,Asia,South Korea,Jakarta,2024,Residential,7.25,4.76,11659.78,4516,318596.15,0.2115,2466043.47,774.03,8309.73,92.16,70.51,90.81,Medium
262,South America,Chile,Lima,2020,Industrial,4.38,5.7,4783.24,2728,277313.16,0.1507,720834.27,259.94,3197.68,54.6,41.01,68.32,Medium
263,Europe,Italy,Vienna,2021,Residential,6.79,10.88,13408.1,2639,351022.31,0.1558,2088981.98,595.11,11427.03,80.69,69.11,97.4,Medium
264,Asia,Japan,Bangkok,2023,Residential,7.15,9.84,17148.77,796,411267.53,0.1557,2670063.49,649.23,7235.51,94.91,68.43,80.04,Low
265,North America,USA,Houston,2023,Utility-Scale,6.96,7.26,9988.06,1269,291989.4,0.1995,1992617.97,682.43,8870.52,88.76,71.07,96.65,Low
266,Asia,Japan,Tokyo,2023,Utility-Scale,3.79,5.66,4779.89,2601,81698.94,0.2197,1050141.83,1285.38,4089.16,70.38,37.41,75.77,Low
267,North America,USA,New York,2024,Utility-Scale,6.52,8.31,16208.3,3595,82665.25,0.2378,3854333.74,4662.58,7343.46,89.34,63.21,63.37,Medium
268,South America,Colombia,Sao Paulo,2018,Commercial,4.13,5.93,7517.44,3066,408546.7,0.2244,1686913.54,412.91,4115.72,81.7,39.28,94.59,Low
269,North America,Canada,New York,2022,Commercial,5.65,10.66,13960.93,1328,386733.46,0.2336,3261273.25,843.29,7984.62,70.63,57.96,79.99,Low
270,Asia,Japan,Delhi,2019,Residential,4.23,9.7,13330.26,561,433124.48,0.2385,3179267.01,734.03,11959.33,73.06,42.8,71.34,Medium
271,South America,Colombia,Santiago,2022,Commercial,7.31,6.82,14663.13,2514,155539.78,0.1285,1884212.21,1211.4,6377.06,59.67,72.96,72.81,High
272,Africa,Kenya,Nairobi,2021,Utility-Scale,7.33,5.6,9574.3,2726,403547.05,0.2011,1925391.73,477.12,6897.51,63.83,71.89,86.5,Medium
273,Asia,Thailand,Bangkok,2018,Residential,5.71,5.64,9117.93,636,428806.85,0.226,2060652.18,480.55,4285.43,76.93,54.73,94.57,High
274,Africa,Egypt,Accra,2019,Utility-Scale,6.75,8.26,17326.65,1227,145742.31,0.0862,1493557.23,1024.79,9188.46,94.7,67.9,85.5,Medium
275,Africa,Kenya,Accra,2019,Utility-Scale,4.04,7.76,6125.69,4221,213739.5,0.0818,501081.44,234.44,3181.93,98.2,45.22,86.68,Low
276,Europe,Netherlands,Paris,2021,Utility-Scale,6.43,10.6,12736.78,2969,392662.57,0.1194,1520771.53,387.3,6778.24,61.7,65.99,80.2,Medium
277,North America,Canada,New York,2022,Residential,3.91,10.79,12138.02,4824,173072.89,0.2061,2501645.92,1445.43,8366.93,78.51,37.87,74.76,High
278,Asia,China,Seoul,2019,Industrial,5.57,6.79,12386.61,641,269087.7,0.162,2006630.82,745.72,8696.71,75.09,52.09,66.46,High
279,Europe,Germany,Paris,2018,Utility-Scale,4.95,9.16,9073.67,1330,153655.85,0.2179,1977152.69,1286.74,6897.15,74.08,49.29,68.22,High
280,Europe,Germany,London,2023,Residential,5.79,5.55,9223.3,4919,67635.89,0.1773,1635291.09,2417.79,3947.17,62.91,54.7,97.37,High
281,South America,Peru,Caracas,2019,Industrial,7.29,5.91,12197.46,1499,262136.05,0.1619,1974768.77,753.34,6216.82,70.54,69.33,82.72,High
282,South America,Peru,Caracas,2019,Residential,7.19,8.38,11550.55,1235,220195.11,0.1025,1183931.38,537.67,4715.87,76.14,75.99,86.69,High
283,Middle East,Oman,Kuwait City,2020,Utility-Scale,3.66,9.6,9330.93,3544,102882.38,0.162,1511610.66,1469.26,4340.42,80.17,39.88,94.98,High
284,North America,USA,Seattle,2024,Commercial,7.25,7.63,17185.72,2095,207733.02,0.2168,3725864.1,1793.58,14675.39,91.86,73.26,76.59,Medium
285,North America,Canada,Phoenix,2019,Residential,4.53,4.54,6301.89,3359,53201.34,0.1688,1063759.03,1999.5,4158.5,68.75,42.35,91.37,Medium
286,Middle East,Oman,Muscat,2022,Industrial,4.51,10.06,11433.64,3962,214539.84,0.1268,1449785.55,675.77,8464.36,87.75,44.23,90.57,Low
287,Africa,Kenya,Johannesburg,2022,Commercial,7.45,8.25,19152.52,1335,229158.39,0.1035,1982285.82,865.03,15933.27,55.95,71.8,90.54,Low
288,Middle East,Oman,Doha,2019,Industrial,5.96,8.95,10073.58,732,225096.66,0.1881,1894840.4,841.79,8080.87,91.16,59.32,83.41,Low
289,Asia,Singapore,Shanghai,2019,Residential,3.65,7,8874.95,4059,326284.52,0.1686,1496316.57,458.59,6707.71,79.87,40.96,91.99,Medium
290,South America,Peru,Santiago,2020,Utility-Scale,4.28,9.6,10962,721,364302.38,0.1846,2023585.2,555.47,8079.13,67.99,44.35,98.05,Medium
291,South America,Colombia,Bogota,2021,Commercial,5.84,7.87,14030.79,2275,80877.73,0.0953,1337134.29,1653.28,7608.15,91.49,62.55,73.58,Low
292,Middle East,UAE,Kuwait City,2021,Utility-Scale,4.54,7.15,6430.49,4719,82573.69,0.13,835963.7,1012.39,5617.08,90.15,49.97,94.17,Medium
293,Africa,Nigeria,Johannesburg,2024,Commercial,6.53,10.75,18111.25,1815,257324.2,0.1798,3256402.75,1265.49,7492.18,55.81,60.98,84.71,High
294,Asia,India,Seoul,2019,Industrial,5.57,4.56,8165.08,3913,161715.92,0.0958,782214.66,483.7,6016.43,91.05,51.46,96.32,Medium
295,Africa,Nigeria,Nairobi,2019,Industrial,7.29,8.94,21812.47,2055,274549.7,0.1139,2484440.33,904.91,16745.75,93.64,69.97,67.91,High
296,North America,USA,Los Angeles,2019,Utility-Scale,6.2,8.81,15531.8,4716,393909.9,0.1721,2673022.78,678.59,6540.93,74.11,63.21,79.2,Medium
297,Africa,South Africa,Nairobi,2023,Residential,4.39,8.25,6852.54,1441,409671.46,0.1613,1105314.7,269.81,4593.83,75.12,42.84,86.77,Medium
298,Africa,Kenya,Johannesburg,2020,Industrial,6.26,4.58,6187.96,3871,311453.7,0.1353,837230.99,268.81,4371.11,62.99,63.09,69.25,High
299,Europe,Spain,Vienna,2024,Industrial,4.34,9.05,9555.8,828,434446.74,0.1275,1218364.5,280.44,4681.81,56.56,44.16,68.91,High
300,Europe,Spain,Stockholm,2024,Industrial,4.28,9.7,12685.3,4384,262844.16,0.0817,1036389.01,394.3,7747.68,56.72,46.73,84.6,High
301,Middle East,Qatar,Doha,2020,Industrial,5.75,8.19,11666.15,2751,360744.43,0.0902,1052286.73,291.7,9413.52,73.83,58.8,77.54,Medium
302,Africa,Kenya,Casablanca,2023,Industrial,4.88,7.18,8398.19,2341,355813.63,0.1829,1536028.95,431.69,5781.54,82.49,49.18,98.2,Medium
303,Africa,Ghana,Johannesburg,2018,Residential,5.29,5.01,7535.38,4692,258688.44,0.2426,1828083.19,706.67,6285.48,82.03,57.19,76.45,Medium
304,Europe,Germany,Amsterdam,2019,Utility-Scale,4.75,8.74,12486.62,4277,322423.24,0.1472,1838030.46,570.07,10536.78,89.05,51.89,89.17,Medium
305,Europe,Germany,London,2024,Residential,6.41,8.8,19171.63,4502,365313.62,0.0936,1794464.57,491.21,9268.62,55.15,59.74,94.27,Low
306,Middle East,UAE,Kuwait City,2018,Residential,3.92,8.52,6490.41,4325,469215.31,0.1463,949546.98,202.37,3340.47,86.88,38.63,64.93,Low
307,South America,Peru,Lima,2022,Utility-Scale,6.96,7.54,17215.68,3750,470685.91,0.1733,2983477.34,633.86,8049.32,97.42,69.99,83.04,High
308,South America,Chile,Caracas,2021,Industrial,4.74,6.76,8707.32,1126,412118.49,0.1551,1350505.33,327.7,5075.42,62.99,45.44,60,Medium
309,Africa,Ghana,Cairo,2021,Utility-Scale,7.19,10.66,20012.22,3382,54109.67,0.1532,3065872.1,5666.03,10935.9,61.56,66.97,74.57,High
310,Europe,Netherlands,Paris,2021,Industrial,6.45,7.03,11078.36,2237,168341.12,0.1518,1681695.05,998.98,5758.32,88.23,68.6,91.5,Medium
311,Europe,Germany,Berlin,2020,Residential,4.05,5.22,5441.87,191,253745.25,0.1991,1083476.32,426.99,3515.44,66.03,37.02,97.82,Low
312,Asia,South Korea,Mumbai,2024,Residential,5.25,4.55,4666.03,269,56626.18,0.1169,545458.91,963.26,2846.85,89.29,52.48,74.48,Medium
313,Europe,France,London,2019,Utility-Scale,6.6,4.96,8508.9,2049,136486.53,0.2231,1898335.59,1390.86,6880.51,91.41,62.22,89.96,Medium
314,South America,Argentina,Sao Paulo,2020,Residential,5.34,9.51,13640.1,355,491952.13,0.1604,2187872.04,444.73,10103.51,65.61,51.63,84.54,High
315,Middle East,Qatar,Muscat,2018,Commercial,4.29,10.27,14399.21,990,148004.71,0.0992,1428401.63,965.11,10316.38,66.23,39.57,70.77,Medium
316,North America,USA,Miami,2019,Residential,4.99,5.08,5242.44,1270,91130.7,0.1852,970899.89,1065.39,4536.94,99.85,51.15,62.33,High
317,Middle East,Qatar,Riyadh,2022,Utility-Scale,7.43,9.63,22083.37,333,412486.42,0.1546,3414089,827.69,10964.01,84.46,72.88,65.25,Medium
318,Asia,China,Jakarta,2022,Industrial,5.77,8.03,10889.47,3691,260777.62,0.2275,2477354.42,949.99,7615.44,93.03,54.3,80.71,Medium
319,Asia,Japan,Jakarta,2022,Commercial,6.6,7.79,15666.97,4425,447319.57,0.1854,2904656.24,649.35,9118.77,81.01,64.21,62.47,Medium
320,South America,Chile,Bogota,2021,Residential,4.12,6.34,6521.5,266,194910.83,0.0964,628672.6,322.54,4757.08,52.19,45.58,66.97,Low
321,Europe,UK,Berlin,2024,Utility-Scale,5.78,9.94,16767.52,1719,286619.61,0.1992,3340089.98,1165.34,8852.74,68.32,58.86,62.76,High
322,North America,USA,Miami,2022,Commercial,4.94,9.33,15273.06,2499,419911.93,0.215,3283707.9,782,6554.43,80.85,49.69,88.64,Low
323,North America,USA,Los Angeles,2023,Utility-Scale,5.63,5.73,8692.52,4733,161943.36,0.1863,1619416.48,999.99,4254.54,87.46,55.45,64.12,Medium
324,South America,Brazil,Bogota,2024,Utility-Scale,4.17,5.67,5869.95,2669,201880.79,0.1069,627497.65,310.83,5278.36,72.15,40.22,72.29,Medium
325,South America,Venezuela,Bogota,2020,Residential,4.79,6.06,7917.41,11,218778.38,0.1735,1373670.64,627.88,6114.53,68,47.42,97.43,High
326,Africa,Morocco,Cairo,2018,Commercial,4.04,10.29,7529.31,4545,492977.49,0.1165,877164.62,177.93,4197.23,88.58,44.83,92.07,High
327,North America,Canada,Miami,2024,Industrial,4.12,6.22,8488.39,642,162435.61,0.1236,1049165,645.9,4669.9,78.52,41.89,68.48,High
328,Middle East,Kuwait,Riyadh,2024,Industrial,6.8,8.98,16973.32,468,458445.04,0.1812,3075565.58,670.87,9338.66,86.54,68.76,63.06,Medium
329,Middle East,UAE,Abu Dhabi,2020,Commercial,6.98,5.97,12125,4433,321035.74,0.0819,993037.5,309.32,9563.1,69.12,67.85,61.61,High
330,Africa,Nigeria,Accra,2018,Industrial,4.11,8.88,12757.55,1222,486968.11,0.208,2653570.4,544.92,8772.44,54.5,40.42,90.67,Low
331,Middle East,UAE,Kuwait City,2019,Commercial,5.69,6.21,8754.21,4690,245521,0.1986,1738586.11,708.12,6837.18,74.05,53.88,75.42,Low
332,North America,Canada,Phoenix,2022,Industrial,4.79,10.51,9828.5,2507,352286.4,0.152,1493932,424.07,5643.07,66.04,48.84,60.94,Low
333,Middle East,Saudi Arabia,Kuwait City,2020,Residential,5.26,10.51,12145.21,1219,358411.65,0.1065,1293464.86,360.89,9281.9,54.29,55,69.48,Medium
334,South America,Peru,Sao Paulo,2021,Residential,5.3,4.65,5311.78,1167,292102.46,0.1146,608729.99,208.4,3514.45,62.93,52.83,88.47,High
335,Africa,Morocco,Accra,2024,Industrial,3.67,5.61,4700.04,2232,405134.82,0.1851,869977.4,214.74,2004.77,82.74,31.78,75.16,High
336,North America,Canada,New York,2022,Utility-Scale,6.97,8.72,13328.62,1537,221315.54,0.246,3278840.52,1481.52,5995.24,65.77,73.37,80.73,Low
337,South America,Brazil,Sao Paulo,2023,Residential,4.49,7.94,8438.74,4116,227029.92,0.1067,900413.56,396.61,4838.69,67.6,46.15,69.21,Medium
338,Asia,Indonesia,Seoul,2022,Commercial,7.46,10.64,27094.43,1873,151512.21,0.1381,3741740.78,2469.6,16159.75,56.86,76.9,80.31,Medium
339,Europe,France,Stockholm,2024,Utility-Scale,7.14,6.64,12903.93,4301,143040.77,0.1036,1336847.15,934.59,8654.37,90.01,75.03,72.05,Low
340,Europe,France,Paris,2023,Utility-Scale,3.77,7.96,9071.93,3378,132860.85,0.2227,2020318.81,1520.63,4288.86,51.47,35.89,97.94,Medium
341,South America,Peru,Caracas,2020,Residential,4.11,5.72,4757.39,1901,61789.2,0.2476,1177929.76,1906.37,3370.48,80.28,42.22,83.26,High
342,North America,USA,Miami,2019,Utility-Scale,5.51,8.43,13983.25,132,218281.73,0.2249,3144832.92,1440.72,9029.3,56.88,52.03,61.26,Medium
343,South America,Argentina,Caracas,2023,Utility-Scale,6.53,4.93,10868.57,3326,493532.44,0.2274,2471512.82,500.78,7009.92,66.24,64.88,69.62,Low
344,Asia,Singapore,Seoul,2023,Utility-Scale,7.26,8.22,16181.3,2022,338627.22,0.1997,3231405.61,954.27,6784.11,55.47,72.17,94.23,High
345,North America,USA,Seattle,2018,Utility-Scale,4.26,7.36,10357.59,1175,398154.66,0.1286,1331986.07,334.54,5005.24,64.72,46.79,86.91,Medium
